NORAD ID,REFERENCE ALTITUDE EPOCH,REFERENCE ALTITUDE (KM),REFERENCE TLE 1,REFERENCE TLE 2,PREDICTION EPOCH,PREDICTION ALTITUDE (KM),LAST TLE LINE 1,LAST TLE LINE 2,ESTIMATED REENTRY EPOCH,ESTIMATED REENTRY ALTITUDE (KM),MIN DST
44239,2020-08-17 22:00:01+00:00,280,1 44239U 19029E   20230.91667824  .01017090  50073-3  22106-2 0  9992,2 44239  53.0050 267.8210 0001719 307.4631  74.6299 15.97807245 68655,2020-08-29 01:00:01+00:00,99.30996875,1 44239U 19029E   20245.30010903  .76604941  12441-4  37768-2 0  9998,2 44239  53.0083 191.8643 0002866 256.4190 224.7475 16.43061467 70987"}],2020-09-01 11:12:09+00:00,89.284328125,-39.0
44272,2020-08-16 06:00:02+00:00,280,1 44272U 19029AP  20229.25002315  .00830048  32549-3  17419-2 0  9996,2 44272  52.9965 276.0686 0002053  24.7593 119.6059 15.98400084 68444,2020-08-29 19:00:02+00:00,99.4566796875,1 44272U 19029AP  20246.22748330  .14112946  12301-4  12012-2 0  9990,2 44272  52.9819 186.8253 0004195 246.1664 114.4298 16.38700138 71189"}],2020-09-03 05:27:35+00:00,99.0566640625,-39.0
44237,2020-08-16 22:00:01+00:00,280,1 44237U 19029C   20229.91667824  .00829537  33068-3  16316-2 0  9995,2 44237  52.9947 272.7806 0002317  21.9660  56.1765 15.99547013 68577,2020-08-30 08:00:01+00:00,99.214984375,1 44237U 19029C   20246.24351608 +.23336896 +12391-4 +15299-2 0  9992,2 44237 052.9945 186.9776 0004551 271.9057 198.4437 16.40837491071205"}],2020-09-02 18:50:40+00:00,99.768671875,-39.0
44248,2020-08-19 22:00:01+00:00,280,1 44248U 19029P   20232.91667824  .00962212  45646-3  18767-2 0  9996,2 44248  53.0006 212.8432 0006100 283.7132 283.2907 15.99685907 69604,2020-08-31 13:00:01+00:00,99.7875703125,1 44248U 19029P   20246.89959375  .49940950  12557-4  10158-2 0  9993,2 44248  52.9949 139.2923 0003683 270.3120 109.3827 16.46912557 71853"}],2020-09-03 02:35:25+00:00,93.9356484375,-39.0
44745,2020-07-06 00:04:24+00:00,280,1 44745U 19074AJ  20188.00305316  .00073300  13482-4  16354-3 0  9999,2 44745  52.9791  52.8776 0001246 266.1237  93.9648 15.97993356 37617,2020-12-01 16:04:24+00:00,99.032890625,1 44745U 19074AJ  20246.77485442  .21998659  12712-4  15628-3 0  9991,2 44745  52.9611 104.7789 0006885 265.0997  95.3587 16.52708336 47077"}],2020-09-03 02:35:47+00:00,96.813015625,-50.0
44260,2020-08-16 14:00:01+00:00,281,1 44260U 19029AB  20229.58334491 +.00830353 +32853-3 +16874-2 0  9993,2 44260 053.0069 273.4921 0001857 033.6329 302.2373 15.98973025068571,2020-08-30 02:00:01+00:00,98.954921875,1 44260U 19029AB  20248.32345525  .25127740  12274-4  21111-2 0  9998,2 44260  52.9913 174.9865 0009412 250.3159 109.8966 16.38652946 71599"}],2020-09-04 22:45:47+00:00,85.6032734375,-39.0
44261,2020-08-16 06:00:02+00:00,281,1 44261U 19029AC  20229.25002315  .00833607  32845-3  17495-2 0  9991,2 44261  52.9958 276.1998 0002339  20.0047 160.3727 15.98397937 68460,2020-08-29 18:00:02+00:00,99.1527265625,1 44261U 19029AC  20249.09246888  .19263879  12182-4  24119-2 0  9992,2 44261  52.9831 172.1242 0006119 239.5454 120.5504 16.35234008 71653"}],2020-09-05 21:13:09+00:00,94.5493046875,-39.0
44258,2020-08-16 06:00:02+00:00,281,1 44258U 19029Z   20229.25002315  .00833367  32825-3  17492-2 0  9995,2 44258  52.9962 276.2231 0001654  34.4080 151.9732 15.98398578 68449,2020-08-29 18:00:02+00:00,99.5309921875,1 44258U 19029Z   20249.78646646  .99999999  12507-4  46875-3 0  9992,2 44258  52.9853 168.5270 0024929 165.7220 288.7645 16.55583557 71755"}],2020-09-05 20:52:31+00:00,87.2523359375,-39.0
44280,2020-08-19 14:00:01+00:00,280,1 44280U 19029AX  20232.58334491  .00833403  35900-3  12523-2 0  9991,2 44280  52.9984 258.7449 0002245  21.9202 227.2652 16.04143985 69007,2020-09-01 04:00:01+00:00,98.2428046875,1 44280U 19029AX  20249.97460791  .54219169  12491-4  86033-3 0  9990,2 44280  52.9948 167.2942 0006936 203.6675 156.8897 16.47885248 71815"}],2020-09-06 04:23:26+00:00,87.8651015625,-39.0
44283,2020-08-15 22:00:01+00:00,280,1 44283U 19029BA  20228.91667824  .00829291  32215-3  17968-2 0  9999,2 44283  52.9999 277.8276 0001827  34.8747 320.6349 15.97828759 68413,2020-08-29 16:00:01+00:00,97.65596875,1 44283U 19029BA  20254.21247495 +.04079276 +12086-4 +78158-3 0  9997,2 44283 052.9873 144.6174 0011081 245.6054 114.6761 16.30933978072500"}],2020-09-14 08:05:58+00:00,98.7746796875,-39.0
44254,2020-08-16 22:00:01+00:00,280,1 44254U 19029V   20229.91667824  .00829664  33079-3  16321-2 0  9993,2 44254  52.9944 272.7661 0001627  38.5706  33.5252 15.99547097 68516,2020-08-30 10:00:01+00:00,97.9467890625,1 44254U 19029V   20256.05111232  .54783783  12528-4  80031-3 0  9992,2 44254  52.9893 135.7261 0007330 230.4654 130.1450 16.48299762 72725"}],2020-09-12 06:13:36+00:00,85.14425,-39.0
44266,2020-08-16 14:00:01+00:00,280,1 44266U 19029AH  20229.58334491 +.00829553 +32786-3 +16856-2 0  9994,2 44266 052.9969 273.7779 0002183 025.3288 034.4793 15.98973151068461,2020-08-30 05:00:01+00:00,99.4756875,1 44266U 19029AH  20258.85518714  .16097244  12572-4  10000-3 0  9997,2 44266  52.9827 119.6547 0020137 244.8039 224.0760 16.52546679 73184"}],2020-09-15 08:31:28+00:00,99.3008671875,-39.0
44250,2020-08-16 06:00:02+00:00,280,1 44250U 19029R   20229.25002315  .00834182  32893-3  17508-2 0  9996,2 44250  52.9960 276.2156 0002154  23.3466 145.0157 15.98397916 68424,2020-08-29 18:00:02+00:00,98.747875,1 44250U 19029R   20259.91668981 -.00007975  11981-4 -12493-5 0  9990,2 44250  52.9869 115.1258 0009234 267.0021 304.7602 16.26202498 73366"}],,,-39.0
44290,2020-08-15 22:00:01+00:00,281,1 44290U 19029BH  20228.91667824  .00829218  32209-3  17966-2 0  9997,2 44290  53.0089 278.4066 0001926  28.5518 122.8228 15.97829051 69474,2020-08-29 14:00:01+00:00,99.2890625,1 44290U 19029BH  20260.06253074  .13881108  12160-4  25133-2 0  9997,2 44290  52.9953 114.2818 0009431 279.9412  80.2003 16.31563382 74507"}],2020-09-17 08:30:03+00:00,91.3740703125,-39.0
44267,2020-08-16 14:00:01+00:00,279,1 44267U 19029AJ  20229.58334491 +.00830262 +32845-3 +16872-2 0  9998,2 44267 052.9997 273.6688 0001870 033.7903 314.0798 15.98972942068504,2020-08-30 02:00:01+00:00,97.7360078125,1 44267U 19029AJ  20259.99543894  .10522816  12190-4  19064-2 0  9997,2 44267  52.9852 113.5784 0006351 300.7439 212.2782 16.31646927 73410"}],2020-09-17 14:53:26+00:00,99.770015625,-39.0
44264,2020-08-16 02:22:20+00:00,280,1 44264U 19029AF  20229.09884163  .00150171  20332-4  32883-3 0  9991,2 44264  52.9958 276.9176 0002103  34.5833 325.5331 15.97899009 68429,2020-10-29 08:22:20+00:00,99.7398359375,1 44264U 19029AF  20260.70722731  .18133919  12437-4  11425-2 0  9991,2 44264  52.9869 110.3679 0004977 298.2751  61.7792 16.41142759 73517"}],2020-09-17 08:58:24+00:00,99.75928125,-39.0
44256,2020-08-28 14:00:01+00:00,279,1 44256U 19029X   20241.58334491  .00787332  30416-3  13961-2 0  9997,2 44256  52.9926 163.4557 0004216 279.3492  37.0135 16.01330735 71035,2020-09-11 12:00:01+00:00,95.2894140625,1 44256U 19029X   20260.16578894  .10945764  12936-4  19197-3 0  9991,2 44256  52.9964  65.2221 0029517  24.7473 336.0349 16.44452279 74033"}],2020-09-17 03:58:44+00:00,98.0271171875,-60.0
44251,2020-08-16 06:00:02+00:00,279,1 44251U 19029S   20229.25002315  .00830172  32558-3  17426-2 0  9999,2 44251  52.9774 275.1047 0001465  40.9296 133.4211 15.98397155 68398,2020-08-29 21:00:02+00:00,98.379671875,1 44251U 19029S   20260.05632000  .03126518  12276-4  32764-3 0  9996,2 44251  52.9632 112.3361 0009550 277.6232  82.3871 16.36747412 73370"}],2020-09-20 13:21:06+00:00,98.9948359375,-39.0
